shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
24;-23.56668;-46.73842;14;9480
24;-23.568;-46.7405;15;10475
25;-23.568;-46.7405;1;0
25;-23.56852;-46.73181;2;1100
25;-23.56709;-46.7275;3;1605
25;-23.56589;-46.72534;4;1865
25;-23.56524;-46.72465;5;2225
25;-23.56666;-46.72727;6;2535
25;-23.56084;-46.73074;7;3935
25;-23.56614;-46.73032;8;4650
25;-23.56827;-46.7321;9;5085
25;-23.568;-46.7405;10;6285
25;-23.56669;-46.73802;11;7885
25;-23.56668;-46.73842;12;8140
25;-23.568;-46.7405;13;9135
26;-23.568;-46.7405;1;0
26;-23.56852;-46.73181;2;1100
26;-23.56709;-46.7275;3;1605
26;-23.56524;-46.72465;4;2225
26;-23.56666;-46.72727;5;2535
26;-23.55958;-46.73435;6;3935
26;-23.55941;-46.73757;7;4265
26;-23.55974;-46.73484;8;4800
26;-23.56084;-46.73074;9;5275
26;-23.56614;-46.73032;10;5990
26;-23.56827;-46.7321;11;6425
26;-23.568;-46.7405;12;7625
26;-23.56669;-46.73802;13;9225
26;-23.56668;-46.73842;14;9480
26;-23.568;-46.7405;15;10475
27;-23.568;-46.7405;1;0
27;-23.56852;-46.73181;2;1100
27;-23.56709;-46.7275;3;1605
27;-23.56589;-46.72534;4;1865
27;-23.56524;-46.72465;5;2225
27;-23.56666;-46.72727;6;2535
27;-23.56084;-46.73074;7;3935
27;-23.56614;-46.73032;8;4650
27;-23.56827;-46.7321;9;5085
27;-23.568;-46.7405;10;6285
27;-23.56669;-46.73802;11;7885
27;-23.56668;-46.73842;12;8140
27;-23.568;-46.7405;13;9135
28;-23.568;-46.7405;1;0
28;-23.56852;-46.73181;2;1100
28;-23.56709;-46.7275;3;1605
28;-23.56589;-46.72534;4;1865
28;-23.56524;-46.72465;5;2225
28;-23.56666;-46.72727;6;2535
28;-23.56084;-46.73074;7;3935
28;-23.56614;-46.73032;8;4650
28;-23.56827;-46.7321;9;5085
28;-23.568;-46.7405;10;6285
28;-23.56669;-46.73802;11;7885
28;-23.56668;-46.73842;12;8140
28;-23.568;-46.7405;13;9135
29;-23.568;-46.7405;1;0
29;-23.56852;-46.73181;2;1100
29;-23.56709;-46.7275;3;1605
29;-23.56589;-46.72534;4;1865
29;-23.56524;-46.72465;5;2225
29;-23.56666;-46.72727;6;2535
29;-23.56084;-46.73074;7;3935
29;-23.56614;-46.73032;8;4650
29;-23.56827;-46.7321;9;5085
29;-23.568;-46.7405;10;6285
29;-23.56669;-46.73802;11;7885
29;-23.56668;-46.73842;12;8140
29;-23.568;-46.7405;13;9135
30;-23.568;-46.7405;1;0
30;-23.56852;-46.73181;2;1100
30;-23.56827;-46.7321;3;1240
30;-23.568;-46.7405;4;2440
30;-23.56669;-46.73802;5;4040
